,Tweets,Translated,polarity_score,analysis_result
0,lancar mbak mantap semangat vaksin covid tetap terapkan protokol kesehatan mbak,"well done sis, great enthusiasm for the covid vaccine, keep implementing the health protocol, sis",0.4,Positive
1,yeayyyyy vaksin covid aman ibu hamil,yesyyyy covid vaccine is safe for pregnant women,0.4166666666666666,Positive
2,ibu covid bergejala alhamdulillah minggu kedua kedua indra mulai aktif ayah vaksin lengkap hari lalu terkonfirmasi positif alhamdulillah beliau bergejala ringan batuk vaksin bentuk ikhtiar meredakan wabah jangan takut divaksin,"covid-19 mother has symptoms, thank god, in the second week, both senses are starting to be active, father. complete vaccine last day confirmed positive. thank god, he has mild symptoms.",0.0492424242424242,Positive
3,nak tanya betul kalau bru lepas baik dr covid bole amek vaksin selama bulan ada kwn bru baik dpd covid esoknya dh vaksin st dose ada doktor bagitau mmg xbole vaksin kalau bru lepas baik dr covid,"i really want to ask if you get better from covid, can you get the vaccine for a month? is there a doctor who will be fine with covid? the next day, you have the st dose vaccine. there is a doctor who will tell you if you can get a vaccine if you get better from covid.",0.4171428571428571,Positive
4,semoga husnul khatimah ibu tersebut vaksin covid ibu hamil aman mbak yuk vaksin,"i hope husnul khatimah, the mother, the covid vaccine for pregnant women is safe, sis, let's get the vaccine",0.4166666666666666,Positive
5,lagian kl vaksin memang ruginya dia apa kl vaksin malah rugi kena covid gejalanya kemungkinan lbh berat,"besides, if the vaccine is a loss for him, what if the vaccine is a loss, if you get covid, the symptoms are likely to be more severe",0.25,Positive
6,beruntung sangat ortu langsung vaksin dikasih kesempatan percaya covid prokes nya perlu diperbaiki,very lucky that the parents immediately gave the vaccine the opportunity to believe that the covid-19 program needed to be repaired,0.2666666666666666,Positive
7,mengambil keuntungan komersial ditengah wabah covid kemanusiaan alhamdulillah kebijakan vaksin berbayar jadi dilaksanakan indonesia semoga tetap amin yra,"taking commercial advantage in the midst of a humanitarian covid outbreak, thank god, the paid vaccine policy is being implemented by indonesia, hopefully it will continue, amen yra",0.0,Positive
8,alhamdulillah vaksin covid aman buat bumil,thank god the covid vaccine is safe for pregnant women,0.4166666666666666,Positive
9,ngeliat segitu banyaknya orang anti vaksin punya keluarga aware covid mau divaksin sebuah privilege,"seeing that there are so many anti-vaccine people who have families who are aware of covid, they want to be vaccinated with a privilege",0.375,Positive
10,vaksin kosong jual vaksin jual pelindung muka covid kat ppv apa kes ni wei,empty vaccines selling vaccines selling covid face shields at ppv what's the case wei,-0.1,Negative
11,benda tu amanah kebaikan semua orang prevent kena covid serious pulak golongan bebal menipu vaksin gila,that thing is the trust of the goodness of everyone to prevent serious covid. the fools cheat the crazy vaccine,-0.4666666666666667,Negative
12,vaksin bukan berarti kebal covid,vaccine does not mean immune to covid,0.15625,Positive
13,gobkok jangan disimpan broo disebarkan semua orang tau ente memang goblok ketahuilah ente anti vaksin sebaiknya keluar rumah diluar adalah hak publik tidak tertular covid,"it's stupid, don't keep it, bro, spread it, everyone knows you're stupid, know that you are anti-vaccine, it's better to leave the house outside is the public's right not to get infected with covid",0.0952380952380952,Positive
14,ppkm konsep baru ppkm perlu menekan angka positif covid menekan penyebaran penularan perlu dievaluasi konsepnya semua lini kehidupan berjalan makanya vaksin ayo vaksin,ppkm new concept ppkm needs to reduce positive covid numbers to suppress the spread of contagion needs to be evaluated the concept of all lines of life running that's why vaccines come on vaccines,0.1818181818181818,Positive
15,tkt efek vaksin soalnya wkt di jatah vaksinnya az mau ad info sinovac baru brgkt buru wkwkw kalau nyokap tidak mau sekarang blm pernah kena covid tkt kondisinya tidak kuat vaksin ad darah tinggi sama struk soalnya bingung saya juga,"about the effect of the vaccine, the problem is when the vaccine is distributed, i want to add info on the new sinovac, it's a hurry, if you don't want it now, you haven't had covid yet, when your condition isn't strong, the vaccine has high blood pressure and a receipt, the problem is i'm confused too",0.0106060606060605,Positive
16,ngeliat banyak lansia takut tidak mau vaksin covid jadi bersyukur sangat bapak ibu mau vaksin maret kmaren alhamdulillah nurut selalu dengerin berita jelas,"seeing that many elderly people are afraid they don't want the covid vaccine, so i'm very grateful, ladies and gentlemen, they want the vaccine in march, thank god, according to always listen to clear news",-0.2499999999999999,Negative
17,tdi dimasjid ibu gua nyuruh orang orang pd msuk dlu shaf depan terus kagetnya blg insyallah dimasjid ma akan virus covid gtau deh gua uda cape nanggepin orang bodoh awas aje ibu kalau ktauan vaksin sm gua ktwain paling keras,"at the mosque, my mother told people to come in first, the front row and i was shocked, but god willing, at the mosque, i don't know about the covid virus, i'm already tired of waiting for stupid people, just watch out, mom, if you find out a vaccine, i'll worry the hardest",0.0,Positive
18,mirip kenapa intermectin benar sih nulisnya ditentang habisan obat murah utk covid shg mengancam produsen vaksin,"it's similar to why intermectin is right, writing against so many cheap drugs for covid that it threatens vaccine manufacturers",0.2285714285714285,Positive
19,kalau cara vaksin nya model skrng dimana masyarakat setengah percaya covid wasalam,"the vaccine method is the current model where people half believe in covid, good luck",-0.0833333333333333,Negative
20,tengah pandemi covid belum mereda sejumlah vaksin diciptakan upaya mengura,in the midst of the covid pandemic has not subsided a number of vaccines created in an effort to reduce,0.0,Positive
21,pakai masker lgs hukum tempat yang tidak vaksin bulan apa tidak usah ksh faslitas sim ktp kk akta bpjs gelandangan kena covid bayar perawatan nya mrk pilih kena covid drpd berpikir resiko membunuh orang ulahnepakeunulahkatepaan,"wear a mask, lgs, the law of places that don't vaccinate, doesn't it need ksh, sim card facility, kk deed, bpjs homeless people get covid, pay for their treatment, they choose to get covid, instead of thinking about the risk of killing people, ulahnepakeunulahkatepaan",0.2,Positive
22,tetap tergantung imun walaupun vaksin hhmm gpp penting sudah usaha buat menghindari covid selbihnya allah atur hehe semangat ya kak,"it still depends on immunity, even though the vaccine is hmm, it's okay, it's important that you have tried to avoid covid, the rest, allah will arrange it hehe, cheers, sis",0.4,Positive
23,vaksinlah vaksin covid menjadi vaksin berbayar kalian mau vaksin tidak masalah lambat laun vaksin jadi berbayar rate orang vaksin nasional sudah tinggi,vaccinate the covid vaccine as a paid vaccine. you want a vaccine. it doesn't matter. gradually the vaccine becomes paid. the national vaccine rate is already high,0.16,Positive
24,temen sudah vaksin kali ttp positif covid jdi jangan bilang vaksin mencegah covid bisa mencegah covid hentikan segala tes swab,"my friends have been vaccinated this time but are positive for covid, so don't say vaccines prevent covid can prevent covid, stop all swab tests",0.2272727272727272,Positive
25,kalau km sehat abis vaksin mungkin positif demam mungkin efek tubuh dimasukin benda asing demam tidak mungkin positif km terpapar covid duluan sebenarnya masa inkubasi virus pas cek positif sialnya km cek vaksn,"if you are healthy after the vaccine, you may be positive for fever, maybe the body effects are foreign objects, the fever is unlikely to be positive, you are exposed to covid first, actually the incubation period for the virus is when you check positive, unfortunately you check the vaccine",0.0557359307359307,Positive
26,tka sipit takut dtg indonesia negara sudah mereda kasusnya nah disini ribut covid hoax vaksin bikin mati disuruh pakai masker mau siapapun diatas kl begitu akan siap pandemi,"tka sipit is afraid of coming to indonesia, the country has died down, now there is a lot of fuss over covid hoaxes.",-0.1333333333333333,Negative
27,serius tanya memang vaksin covid efek penyembuhan ya abis vaksin radangku sembuh,"i seriously ask, does the covid vaccine have a healing effect? ​​after the inflammation vaccine, i'm cured",-0.3333333333333333,Negative
28,satu karyawan meninggal berau covid divaksin beliau tanggal vaksin tanggal pcr negatif tgl berangkat tgl positif pcr tgl meninggal,"one employee died from covid-19, he was vaccinated. date of vaccine, date of pcr, negative date of departure, positive date of pcr, date of death",-0.0363636363636363,Negative
29,kakak baru vaksin sekali terus temen dikantornya kena covid terus ikut kena kata kakak dia biasa kaya sakit biasa temennya yang blm vaksin langsung dibawa rumah sakit gakuat,sister just got vaccinated once and a friend at her office got covid and then got hit by her sister said she's usually sick like her friends who haven't been vaccinated immediately brought to the hospital it's not strong,-0.288961038961039,Negative
30,yaallah gini isi khutbah dekat rumah aq bukannya mendakwahkan bagaiman cara memerangi hoax vaksin covid eh saja isinya mengkafirkan orang mana suaranya besar sekali,"oh my god, this is the content of the sermon near my house, instead of preaching about how to combat the covid vaccine hoax, uh, the contents just make people infidel, where the voice is so big",0.06875,Positive
31,alhamdulillah vaksin x sejak februari sekarang hidup sehat x kontak erat sama temen keluarga positif masker alhamdulillaaahh diberi keselamatan ketularan covid,alhamdulillah vaccine x since february now living healthy x close contact with positive family friends masks alhamdulillaaahh given safety of contracting covid,0.3636363636363636,Positive
32,jateng membutuhkan juta dosis vaksin covid minggu mencapai herd immunity akhir tahun target juta baru juta sudah vaksin,central java needs million doses of covid vaccine this week to reach herd immunity by the end of the year target of million new million already have vaccines,0.0681818181818181,Positive
33,boleh cakap sbb vaksin jugak ada kes harini ambik vaksin lepastu demam berpanjangan ingat demam effect vaksin rupanya kena covid kalau kena covid badan terima imun vaksin tu dah kira efektif,"can you say it's because of the vaccine, there was a case today, i got the vaccine and then the fever lasted, remember the fever effect of the vaccine, it seems that you get covid, if you get covid, the body accepts the immune system, the vaccine is considered effective",0.2833333333333333,Positive
34,semoga cepat tersadar vaksin work sangat membantu kena covid soalnya alhamdulillah pengalaman,"i hope you quickly realize that the vaccine works really helps with covid, because, thank god, it's experience",0.2666666666666666,Positive
35,ni dah takut jarum gigih jgk daftar vaksin sbb takut covid,i'm afraid of needles and insist on registering for vaccines because i'm afraid of covid,-0.6,Negative
36,vaksin memang menjamin bakalan lolos kena covid mungkin lwbih menekan gejalanya,"vaccines do guarantee that you will get away with covid, maybe suppress the symptoms more",0.5,Positive
37,maupun mengurangi mobilitas masyarakat berpotensi penularan covid tiga provinsi fokuskan pemerintah melakukan vaksin dirumahsajaselamappkm,as well as reducing people's mobility with the potential for transmission of covid in three provinces. the focus of the government is to carry out vaccines at home as long as possible,0.0,Positive
38,hiv nemu vaksin vaksin penyakit dibuat bertahun ko vaksin covid cepet yakin tes ny cukup ada efek samping vaksin covid bertahun kemudian di tes hanya kelinci percobaan badan kuat terima vaksin menang lemah meninggal kalah that s it,hiv found a vaccine for a disease vaccine made for years how come the covid vaccine was fast sure the test had enough side effects the covid vaccine many years later tested only guinea pigs strong bodies accepted the vaccine won weak died lost lost that's it,0.203125,Positive
39,bikin alergi varian baru vaksin divaksin malah bikin cepat kena covid fisik ngedrop divaksin dst ngeri lihat hoax beterbangan bieb,makes allergies to the new variant of the vaccine being vaccinated instead of making it quick to get covid-19 physically dropping the vaccine etc. it's horrifying to see hoaxes flying bieb,0.1565656565656565,Positive
40,populer global hari pemuda indonesia balik penciptaan vaksin astrazeneca hari kebebasan inggris cabut pembatasan covid,global popular indonesian youth day behind the creation of the astrazeneca vaccine england freedom day lifts covid restrictions,0.0499999999999999,Positive
41,tidak shg ads baiknya pem fokus pd keseluruhan layanan mulai vaksin pembiasaan prokes memastikan suplai oksigen kaoasitas rumah sakit ppkm darurat memperhatikan masy tidak mampu terdampak covid,not so ads it's better to focus on overall services starting from vaccines habituation to prokes ensuring oxygen supply for emergency ppkm hospital capacity paying attention to people who can't afford to be affected by covid,0.4666666666666666,Positive
42,bukti vaksin bekerja ketua dprd sulbar terpapar covid meski dua kali vaksin,"proof that the vaccine works, the chairman of the sulbar dprd was exposed to covid even though he was vaccinated twice",0.0,Positive
43,weh sebab cucuk vaksin betul kena covid hairan ni apa la dah kena covid kira vaksin jugak tu,"well, because the vaccine really got covid, i wonder why he got covid, because of the vaccine",0.2,Positive
44,betul kl positif covid bergejala tunggu bulan baru vaksin kr kl memang sakit covid sembuh namanya vaksin alami kr bada mengeluarkan anti body jadi vaksin bulan sembuh booster,"that's right, if positive for covid, you have symptoms, wait for the new month for the vaccine, if you're really sick with covid, it's called a natural vaccine, because bada secretes antibodies, so the month vaccine recovers booster",0.1873376623376623,Positive
45,maaf kalau salah kemaren nonton beritanya itu kuliahnya selesai lulus s disana ngambil penelitian vaksin malaria karena lab penelian vaksin covid lagi kurang orang ikutan jadi bukan lulus tidak pulang indonesia,"sorry, if i was wrong, yesterday i watched the news. i finished my studies there. i took malaria vaccine research because the covid vaccine research lab was lacking in people, so they didn't graduate, they didn't go home to indonesia.",-0.5,Negative
46,kalau sih blg kl kena covid parah sakitnya blm vaksin jangan sebar mati sendiri aj uda diajak vaksin gamau mati jangan ajak,"if you don't get covid, the pain is severe, don't get the vaccine, don't spread it, just die alone, if you've been invited to the vaccine, don't want to die, don't invite it",0.0,Positive
47,temen setelah vaksin bisa positif covid,friend after the vaccine can be positive for covid,0.2272727272727272,Positive
48,gerai vaksin presisi upaya polri lindungi masyarakat belenggu covid,precision vaccine outlets are the efforts of the indonesian national police to protect the community from the shackles of covid,0.0,Positive
49,ibadah covid jadi alasan berlaku buat antrian vaksin kerumunan pejabat aparat sdg mengamankan,"covid worship is a valid reason for queuing for vaccines, crowds of government officials are securing it",0.4,Positive
50,amerika kaum antivaks ada bahkan jauh ada covid anti segala macam vaksin,"america, the anti-vaccines, even far away, have anti-covid against all kinds of vaccines",0.05,Positive
51,kerugian terbesar dr mau vaksin alasan diri sendiri ngrepoti orang jika kuat sehat mungkin merasa covid tidak berbahaya bagi tidak kuat fatal dampaknya itu istri ibu bapak saudara anak,"the biggest disadvantage of wanting vaccines is that it bothers people yourself, if you are strong and healthy, you may feel that covid is not dangerous for you, it is not strong enough to be fatal, the impact is wife, mother, father, children",0.2541666666666667,Positive
52,dulu pernah blunder covid dan kalau skarang vaksin jadi solusi mustinya pemerintah segera melaksanakannya,"in the past, there have been covid blunders and if now a vaccine is the solution, the government should immediately implement it",0.0,Positive
53,semua orang jadi tau sakit wkwkwk keknya panik mungkin dikira covid padahal saia baru abis vaksin memang telat reaksi vaksinnya im okay this morning mendingan tinggal butuh istirahat karena kecapean wkwk,"everyone knows they are sick, they seem to be panicking, maybe they think it's covid, even though i just finished the vaccine, the vaccine reaction was late, im okay this morning, it's better if you just need to rest because you're tired",-0.1714285714285714,Negative
54,mas tahun beberapa puluhan ribu orang sekarang positif mungkin percaya covid malas vaksin kalimatnya sama sehat sehat akhirnya kena saya sendiri baru selesai isoman alhamdulillah istri vaksin tidak kena saya,"mas, several tens of thousands of people are now positive, maybe they believe in covid, lazy vaccines, the sentence is just as healthy, in the end, it hit me myself just finished isoman, thank god, the vaccine's wife didn't hit me",0.1295454545454545,Positive
55,orang banyak mendadak pinter semenjak covid mendadak cerita konspirasi ngasih resep obat yakin sama kandungan vaksin sudah kaya paling paham sama dunia isinya tidak inget apa dulu jaman sekolah kerjaannya remed mulu heran,"people suddenly get smarter since covid suddenly conspiratorial stories giving prescriptions believe that the content of vaccines is already rich, they understand the world's contents the most, they don't remember what they used to do when they were at school, they keep being surprised",0.2591836734693878,Positive
56,ketersediaan vaksin covid sumsel menipis,the availability of the sumsel covid vaccine is running low,0.0,Positive
57,jadi tahu beri sembuhkan penyakit tugas allah hnya allah berhak menentukan sbb kata ni anggap vaksin ni sbgai ikhtiar je klau prcaya vaksin tu konfem blh sembuhkan mesti sy dh pertikai ada orang dh dpt vaksin msih blh kena covid,"so you know it's god's job to cure the disease, god has the right to decide, as the saying goes, consider this vaccine as an effort, if you believe that the vaccine can cure you, you have to dispute that there are people who have received the vaccine and still get covid.",0.3428571428571428,Positive
58,vaksin sama obat kn kalau sembuh dr covid apa perlu vaksin,"vaccine and medicine, if you recover from covid, do you need a vaccine?",0.0,Positive
59,ahli mengatakan vaksin covid termasuk sinovac tetap bermanfaat menekan keparahan kematian pasien covid juga menyatakan persen warga meninggal isolasi mandiri rumah divaksin khaslokadata medialawancovid,experts say covid vaccines including sinovac are still useful in reducing the severity of covid patient deaths. they also state that the percent of residents who die are self-isolated at home with the khaslokadata medialawancovid vaccine,0.0444444444444444,Positive
